id,lat,lng,xpos,ypos,dbh,height,species,condition
0,51.54690615831198,0.12687795561611476,62,78,0.594,0.482,Prunus spinosa,good
1,51.54656468252723,0.12639709416949735,27,42,0.875,0.475,Corylus avellana,good
2,51.54646595061592,0.126392663233013,26,31,0.745,0.427,Corylus avellana,excellent
3,51.54645298424952,0.1269135006354196,62,28,0.72,0.346,Cornus sanguinea,excellent
4,51.54645893016178,0.12631124059165844,21,30,1.475,0.401,Malus sylvestris,good
5,51.546838204780556,0.1268607967844315,60,71,0.771,0.435,Malus sylvestris,excellent
6,51.54634957244306,0.1271412096654803,78,16,0.599,0.369,Viburnum opulus,excellent
7,51.546447631050064,0.1270780561660291,74,27,0.845,0.461,Viburnum opulus,excellent
8,51.54688574406651,0.1269838370763717,69,76,0.659,0.478,Betula pendula,excellent
9,51.54680060954074,0.12685253336324712,60,66,1.028,0.475,Euonymus europaeus,excellent
10,51.54665261879215,0.1262318252294957,16,52,1.47,0.356,Rosa canina,excellent
11,51.546864783557545,0.12706618745251202,75,73,1.12,0.324,Sambucus nigra,excellent
12,51.5465010107518,0.1273364223418599,92,32,1.224,0.402,Sambucus nigra,excellent
13,51.54638213252673,0.1271037436570331,75,19,1.135,0.496,Rosa canina,excellent
14,51.546569560345496,0.12714611979950804,79,40,0.617,0.338,Quercus robur,excellent
15,51.546747715351486,0.1266825579653403,48,61,0.834,0.415,Corylus avellana,excellent
16,51.54685284197933,0.12682197008016496,58,72,0.711,0.456,Sorbus torminalis,good
17,51.54659603963754,0.12729607666701737,90,43,1.113,0.492,Sorbus torminalis,excellent
18,51.546840701019036,0.1268599509207029,60,71,0.962,0.361,Sambucus nigra,excellent
19,51.54663692057656,0.12763276905940507,113,46,1.318,0.453,Carpinus betulus,good
20,51.54668168048881,0.12683629629668988,58,53,1.478,0.341,Salix cinerea,excellent
21,51.54639942758683,0.12635322050123865,23,23,0.769,0.46,Malus sylvestris,excellent
22,51.54669550727766,0.12786052968144315,129,52,0.874,0.459,Acer campestre,excellent
23,51.546851178207156,0.12675012775982472,53,72,1.287,0.386,Prunus spinosa,excellent
